,surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
14,0.0,0.0,38.2,76.0,28.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,4.962319,3.0,3.0,46.0,81.0,0.0,2.0,0.0,1
15,0.0,0.0,37.6,96.0,48.0,2.0,0.0,3.0,0.0,4.0,2.0,2.0,1.0,2.0,4.5,3.0,4.0,45.0,6.8,1.0,2.94812,1.0,1
16,0.0,1.0,38.134448,128.0,36.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,4.962319,3.0,4.0,53.0,7.8,2.0,4.7,1.0,0
17,1.0,0.0,37.5,48.0,24.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,45.656798,24.771077,1.0,2.94812,0.0,0
18,0.0,0.0,37.6,64.0,21.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.962319,1.0,4.0,40.0,7.0,0.0,2.94812,0.0,1
19,1.0,0.0,39.4,110.0,35.0,3.0,2.0,5.0,0.0,2.0,2.0,2.0,1.0,0.0,4.962319,3.0,4.0,55.0,8.7,1.0,2.94812,0.0,0
20,0.0,0.0,39.9,72.0,60.0,0.0,0.0,4.0,1.0,4.0,3.0,3.0,2.0,0.0,4.962319,3.0,3.0,46.0,6.1,1.0,2.94812,0.0,1
21,1.0,0.0,38.4,48.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,5.5,3.0,2.0,49.0,6.8,1.0,2.94812,0.0,0
22,0.0,0.0,38.6,42.0,34.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,4.962319,0.0,4.0,48.0,7.2,1.0,2.94812,0.0,1
23,0.0,1.0,38.3,130.0,60.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,4.962319,3.0,4.0,50.0,70.0,1.0,2.94812,0.0,1
24,0.0,0.0,38.1,60.0,12.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,51.0,65.0,1.0,2.94812,0.0,1
25,1.0,0.0,37.8,60.0,42.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,45.656798,24.771077,1.0,2.94812,0.0,0
26,0.0,0.0,38.3,72.0,30.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,4.962319,2.0,4.0,43.0,7.0,1.0,3.9,0.0,1
27,0.0,0.0,37.8,48.0,12.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.962319,0.0,2.0,37.0,5.5,1.0,1.3,0.0,0
28,0.0,0.0,38.134448,70.75731,30.521886,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,45.656798,24.771077,1.0,2.94812,1.0,0
29,1.0,0.0,37.7,48.0,30.521886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.962319,3.0,4.0,45.0,76.0,1.0,2.94812,0.0,0
30,1.0,0.0,37.7,96.0,30.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,4.0,3.0,4.0,66.0,7.5,1.0,2.94812,1.0,1
31,1.0,0.0,37.2,108.0,12.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,6.0,2.0,2.0,52.0,8.2,2.0,7.4,2.0,1
32,0.0,0.0,37.2,60.0,30.521886,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,4.962319,3.0,4.0,43.0,6.6,1.0,2.94812,0.0,1
33,0.0,0.0,38.2,64.0,28.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.962319,3.0,3.0,49.0,8.6,1.0,6.6,0.0,1
34,0.0,0.0,38.134448,100.0,30.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,4.962319,3.0,3.0,52.0,6.6,1.0,2.94812,0.0,1
35,1.0,0.0,38.134448,104.0,24.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,4.962319,3.0,1.0,73.0,8.4,1.0,2.94812,2.0,1
36,1.0,0.0,38.3,112.0,16.0,2.0,2.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,4.962319,3.0,4.0,51.0,6.0,1.0,1.0,2.0,0
37,0.0,0.0,37.8,72.0,30.521886,2.0,2.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,4.962319,0.0,0.0,56.0,80.0,0.0,2.0,0.0,1
38,1.0,0.0,38.6,52.0,30.521886,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.962319,0.0,2.0,32.0,6.6,0.0,5.0,0.0,0
39,0.0,1.0,39.2,146.0,96.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,45.656798,24.771077,1.0,2.94812,1.0,1
40,0.0,0.0,38.134448,88.0,30.521886,2.0,2.0,5.0,1.0,4.0,2.0,2.0,0.0,2.0,4.962319,3.0,4.0,63.0,6.5,2.0,2.94812,1.0,1
41,1.0,1.0,39.0,150.0,72.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,47.0,8.5,1.0,0.1,0.0,1
42,1.0,0.0,38.0,60.0,12.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,4.962319,1.0,1.0,47.0,7.0,1.0,2.94812,0.0,0
43,0.0,0.0,38.134448,120.0,30.521886,2.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,4.962319,3.0,4.0,52.0,67.0,1.0,2.0,2.0,1
44,0.0,0.0,35.4,140.0,24.0,2.0,2.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,4.962319,3.0,4.0,57.0,69.0,2.0,2.0,2.0,1
45,1.0,0.0,38.134448,120.0,30.521886,3.0,2.0,3.0,1.0,4.0,3.0,3.0,0.0,0.0,4.962319,3.0,4.0,60.0,6.5,2.0,2.94812,1.0,1
46,0.0,0.0,37.9,60.0,15.0,2.0,0.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,4.962319,3.0,4.0,65.0,7.5,1.0,2.94812,0.0,1
47,1.0,0.0,37.5,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.962319,0.0,4.0,37.0,6.5,1.0,2.94812,0.0,0
48,0.0,0.0,38.9,80.0,44.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,2.0,0.0,54.0,6.5,2.0,2.94812,1.0,1
49,1.0,0.0,37.2,84.0,48.0,2.0,2.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,4.962319,1.0,0.0,73.0,5.5,1.0,4.1,1.0,0
50,1.0,0.0,38.6,46.0,30.521886,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,4.962319,3.0,1.0,49.0,9.1,0.0,1.6,0.0,0
51,0.0,0.0,37.4,84.0,36.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,4.962319,3.0,4.0,45.656798,24.771077,2.0,2.94812,1.0,1
52,1.0,0.0,38.134448,70.75731,30.521886,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,4.962319,1.0,1.0,43.0,7.7,1.0,2.94812,0.0,0
53,1.0,0.0,38.6,40.0,20.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,41.0,6.4,1.0,2.94812,0.0,0
54,1.0,0.0,40.3,114.0,36.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,7.0,0.0,4.0,57.0,8.1,2.0,4.5,2.0,1
55,0.0,1.0,38.6,160.0,20.0,2.0,0.0,4.0,0.0,2.0,2.0,3.0,2.0,0.0,4.962319,3.0,4.0,38.0,24.771077,1.0,2.94812,1.0,1
56,0.0,0.0,38.134448,70.75731,30.521886,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,24.0,6.7,1.0,2.94812,0.0,1
57,0.0,0.0,38.134448,64.0,36.0,1.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,1.0,4.962319,3.0,4.0,42.0,7.7,1.0,2.94812,1.0,1
58,0.0,0.0,38.134448,70.75731,20.0,3.0,2.0,2.0,0.0,4.0,3.0,2.0,1.0,0.0,4.962319,3.0,3.0,53.0,5.9,2.0,2.94812,1.0,1
59,1.0,0.0,38.134448,96.0,30.521886,2.0,2.0,2.0,1.0,4.0,3.0,3.0,0.0,1.0,4.962319,3.0,4.0,60.0,24.771077,1.0,2.94812,1.0,1
60,1.0,0.0,37.8,48.0,32.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.962319,3.0,4.0,37.0,6.7,1.0,2.94812,0.0,0
61,1.0,0.0,38.5,60.0,30.521886,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.962319,0.0,0.0,44.0,7.7,1.0,2.94812,0.0,0
62,0.0,0.0,37.8,88.0,22.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,64.0,8.0,0.0,6.0,1.0,1
63,1.0,0.0,38.2,130.0,16.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,4.962319,3.0,4.0,65.0,82.0,1.0,2.0,2.0,0
64,0.0,0.0,39.0,64.0,36.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,7.0,3.0,4.0,44.0,7.5,2.0,5.0,0.0,1
65,0.0,0.0,38.134448,60.0,36.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,4.962319,2.0,3.0,26.0,72.0,1.0,1.0,0.0,1
66,1.0,0.0,37.9,72.0,30.521886,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,58.0,74.0,0.0,2.0,0.0,1
67,1.0,0.0,38.4,54.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.962319,2.0,1.0,49.0,7.2,0.0,2.94812,0.0,0
68,1.0,0.0,38.134448,52.0,16.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,5.5,3.0,4.0,55.0,7.2,1.0,2.94812,0.0,0
69,1.0,0.0,38.0,48.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.962319,2.0,1.0,42.0,6.3,1.0,4.1,0.0,0
70,1.0,0.0,37.0,60.0,20.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,4.5,3.0,3.0,43.0,7.6,1.0,2.94812,2.0,1
71,0.0,0.0,37.8,48.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.962319,0.0,0.0,46.0,5.9,1.0,7.0,0.0,0
72,0.0,0.0,37.7,56.0,30.521886,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,45.656798,24.771077,1.0,2.94812,1.0,1
73,0.0,0.0,38.1,52.0,24.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,1.0,2.0,7.0,0.0,4.0,54.0,7.5,1.0,2.6,1.0,1
74,0.0,1.0,38.134448,70.75731,30.521886,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,37.0,4.9,1.0,2.94812,1.0,1
75,0.0,1.0,39.7,100.0,30.521886,2.0,2.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,48.0,57.0,1.0,2.0,2.0,1
76,0.0,0.0,37.6,38.0,20.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,4.962319,2.0,4.0,37.0,68.0,1.0,2.94812,0.0,1
77,1.0,0.0,38.7,52.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.962319,0.0,0.0,33.0,77.0,1.0,2.94812,0.0,0
78,0.0,0.0,38.134448,70.75731,30.521886,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,4.962319,3.0,4.0,46.0,5.9,1.0,2.94812,1.0,1
79,0.0,0.0,37.5,96.0,18.0,0.0,2.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,5.0,3.0,3.0,69.0,8.9,2.0,2.94812,0.0,1
80,0.0,0.0,36.4,98.0,35.0,2.0,2.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,4.962319,3.0,3.0,47.0,6.4,2.0,3.6,1.0,1
81,0.0,0.0,37.3,40.0,30.521886,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,4.962319,2.0,4.0,36.0,24.771077,2.0,2.0,0.0,1
82,0.0,1.0,38.1,100.0,80.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,4.962319,0.0,4.0,36.0,5.7,1.0,2.94812,0.0,1
83,0.0,0.0,38.0,70.75731,24.0,2.0,2.0,5.0,1.0,4.0,2.0,3.0,0.0,0.0,4.962319,3.0,4.0,68.0,7.8,1.0,2.94812,1.0,1
84,0.0,0.0,37.8,60.0,80.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.5,3.0,4.0,40.0,4.5,1.0,2.94812,0.0,1
85,1.0,0.0,38.0,54.0,30.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,4.962319,3.0,3.0,45.0,6.2,1.0,2.94812,0.0,0
86,0.0,0.0,38.134448,88.0,40.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,0.0,4.962319,3.0,4.0,50.0,7.7,2.0,1.4,1.0,1
87,1.0,0.0,38.134448,40.0,16.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,50.0,7.0,1.0,3.9,2.0,1
88,1.0,0.0,39.0,64.0,40.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,1.0,0.0,4.962319,2.0,2.0,42.0,7.5,1.0,2.3,0.0,0
89,1.0,0.0,38.3,42.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.962319,3.0,4.0,38.0,61.0,1.0,2.94812,0.0,0
90,1.0,0.0,38.0,52.0,16.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,53.0,86.0,1.0,2.94812,0.0,1
91,1.0,0.0,40.3,114.0,36.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,7.0,0.0,4.0,57.0,8.1,2.0,4.5,1.0,1
92,1.0,0.0,38.8,50.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.962319,2.0,0.0,42.0,6.2,1.0,2.94812,0.0,0
93,1.0,0.0,38.134448,70.75731,30.521886,2.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,4.962319,3.0,4.0,38.0,6.5,1.0,2.94812,1.0,1
94,1.0,0.0,37.5,48.0,30.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,4.962319,0.0,0.0,48.0,8.6,1.0,2.94812,0.0,0
95,0.0,0.0,37.3,48.0,20.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,4.962319,2.0,4.0,41.0,69.0,1.0,2.94812,0.0,1
96,1.0,0.0,38.134448,84.0,36.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,2.0,1.0,44.0,8.5,1.0,2.94812,0.0,1
97,0.0,0.0,38.1,88.0,32.0,2.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,55.0,60.0,1.0,2.94812,2.0,0
98,1.0,0.0,37.7,44.0,40.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,4.962319,0.0,4.0,41.0,60.0,1.0,2.94812,0.0,0
99,1.0,0.0,39.6,108.0,51.0,2.0,2.0,5.0,1.0,1.0,3.0,2.0,0.0,1.0,4.962319,2.0,4.0,59.0,8.0,1.0,2.6,0.0,0
100,0.0,0.0,38.2,40.0,16.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.962319,0.0,0.0,34.0,66.0,1.0,2.94812,0.0,0
101,0.0,0.0,38.134448,60.0,20.0,3.0,2.0,3.0,1.0,4.0,3.0,0.0,1.0,0.0,4.962319,3.0,4.0,45.656798,24.771077,1.0,2.94812,2.0,1
102,1.0,0.0,38.3,40.0,16.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,37.0,57.0,1.0,2.94812,0.0,0
103,0.0,1.0,38.0,140.0,68.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,4.962319,1.0,0.0,39.0,5.3,1.0,2.94812,0.0,1
104,0.0,0.0,37.8,52.0,24.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,1.0,2.0,5.7,1.0,4.0,48.0,6.6,0.0,3.7,1.0,1
105,0.0,0.0,38.134448,70.0,36.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,4.962319,3.0,4.0,36.0,7.3,1.0,2.94812,0.0,1
106,0.0,0.0,38.3,52.0,96.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,4.962319,0.0,4.0,43.0,6.1,1.0,2.94812,0.0,1
107,1.0,0.0,37.3,50.0,32.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,4.962319,0.0,4.0,44.0,7.0,1.0,2.94812,0.0,0
108,0.0,0.0,38.7,60.0,32.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,4.962319,3.0,4.0,53.0,64.0,2.0,2.0,2.0,1
109,0.0,1.0,38.4,84.0,40.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,4.962319,3.0,4.0,36.0,6.6,1.0,2.8,1.0,1
110,0.0,0.0,38.134448,70.0,16.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,4.962319,3.0,4.0,60.0,7.5,1.0,2.94812,1.0,1
111,0.0,0.0,38.3,40.0,16.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.962319,3.0,4.0,38.0,58.0,0.0,2.0,0.0,1
112,0.0,0.0,38.134448,40.0,30.521886,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.962319,3.0,4.0,39.0,56.0,1.0,2.94812,0.0,1
113,0.0,0.0,36.8,60.0,28.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,45.656798,24.771077,1.0,10.0,1.0,1
114,0.0,0.0,38.4,44.0,24.0,2.0,0.0,3.0,0.0,4.0,3.0,2.0,1.0,0.0,4.962319,3.0,4.0,50.0,77.0,1.0,2.94812,0.0,1
115,1.0,0.0,38.134448,70.75731,40.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,4.962319,3.0,4.0,45.0,70.0,1.0,2.94812,0.0,0
116,0.0,0.0,38.0,44.0,12.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,4.962319,3.0,4.0,42.0,65.0,1.0,2.94812,0.0,1
117,1.0,0.0,39.5,70.75731,30.521886,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,5.5,3.0,4.0,45.656798,6.7,0.0,2.94812,2.0,1
118,0.0,0.0,36.5,78.0,30.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,34.0,75.0,1.0,1.0,0.0,1
119,1.0,0.0,38.1,56.0,20.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.962319,3.0,4.0,46.0,70.0,1.0,2.94812,0.0,0
120,0.0,0.0,39.4,54.0,66.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,4.962319,2.0,3.0,39.0,6.0,1.0,2.94812,0.0,1
121,0.0,0.0,38.3,80.0,40.0,2.0,0.0,5.0,1.0,3.0,2.0,0.0,1.0,1.0,4.962319,0.0,3.0,67.0,10.2,1.0,1.0,2.0,1
122,1.0,0.0,38.7,40.0,28.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.962319,0.0,4.0,39.0,62.0,0.0,1.0,0.0,0
123,0.0,0.0,38.2,64.0,24.0,0.0,0.0,2.0,0.0,3.0,3.0,2.0,1.0,0.0,4.962319,3.0,3.0,45.0,7.5,0.0,2.0,1.0,1
124,1.0,0.0,37.6,48.0,20.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,4.962319,0.0,0.0,37.0,5.5,1.0,2.94812,2.0,1
125,0.0,0.0,38.0,42.0,68.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,4.962319,3.0,3.0,41.0,7.6,1.0,2.94812,0.0,1
126,0.0,0.0,38.7,70.75731,30.521886,2.0,0.0,2.0,0.0,4.0,3.0,1.0,1.0,0.0,4.962319,3.0,4.0,33.0,6.5,1.0,2.94812,0.0,1
127,0.0,0.0,37.4,50.0,32.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,4.962319,0.0,4.0,45.0,7.9,1.0,1.0,0.0,1
128,0.0,0.0,37.4,84.0,20.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,4.962319,3.0,4.0,31.0,61.0,1.0,1.0,2.0,0
129,0.0,0.0,38.4,49.0,30.521886,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,44.0,7.6,1.0,2.94812,0.0,1
130,0.0,0.0,37.8,30.0,12.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,45.656798,24.771077,1.0,2.94812,1.0,1
131,1.0,0.0,37.6,88.0,36.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.5,3.0,4.0,44.0,6.0,1.0,2.94812,1.0,1
132,0.0,0.0,38.0,48.0,20.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,4.962319,2.0,4.0,43.0,73.0,1.0,1.0,0.0,1
133,1.0,0.0,37.9,40.0,24.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.962319,3.0,2.0,40.0,5.7,1.0,2.94812,0.0,1
134,0.0,0.0,38.134448,100.0,30.521886,2.0,0.0,3.0,1.0,4.0,3.0,0.0,1.0,0.0,4.962319,1.0,4.0,59.0,6.3,1.0,2.94812,1.0,1
135,0.0,1.0,38.1,136.0,48.0,2.0,2.0,2.0,0.0,4.0,0.0,2.0,1.0,1.0,4.4,1.0,4.0,33.0,4.9,1.0,2.9,1.0,1
136,0.0,0.0,38.134448,70.75731,30.521886,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,4.962319,3.0,4.0,46.0,5.9,1.0,2.94812,1.0,1
137,0.0,0.0,38.0,48.0,30.521886,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.962319,3.0,4.0,45.656798,24.771077,1.0,2.94812,0.0,1
138,1.0,0.0,38.0,56.0,30.521886,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.962319,0.0,0.0,42.0,71.0,1.0,2.94812,0.0,0
139,1.0,0.0,38.0,60.0,32.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.962319,3.0,4.0,50.0,7.0,0.0,1.0,0.0,0
140,0.0,0.0,38.1,44.0,9.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.962319,3.0,4.0,31.0,7.3,1.0,2.94812,0.0,0
141,1.0,0.0,36.0,42.0,30.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,64.0,6.8,1.0,2.94812,1.0,0
142,0.0,0.0,38.134448,120.0,30.521886,3.0,2.0,5.0,1.0,4.0,3.0,3.0,1.0,0.0,4.962319,3.0,4.0,57.0,4.5,2.0,3.9,1.0,1
143,0.0,0.0,37.8,48.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.962319,0.0,0.0,46.0,5.9,1.0,7.0,0.0,0
